#Name,Brand,color,Link,wish,review
Maison Margiela Calfskin Replica Sneakers,Maison Margiela,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/24909 ,6908,558
Autry Medalist Low Leather Sneakers White,Autry,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/48207 ,7479,192
Nike Air Force 1 '07 LV8 Athletic Club Black Dark Sulfur,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/49016 ,41000,519
Nike x Peaceminusone Kwondo1 White,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/45030 ,33000,2658
Nike Dunk Low Retro Gym Red,Nike,"{'name': 'Merlot', 'RGB': (131, 25, 35)}",https://kream.co.kr/products/71893 ,16000,193
Nike x Supreme Air Force 1 Low Black,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/23626 ,22000,631
New Balance 990v3 Made in USA Sea Salt,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/62676 ,2730,48
Salomon XT-6 ADV White,Salomon,"{'name': 'Dawn Pink', 'RGB': (243, 233, 229)}",https://kream.co.kr/products/25672 ,8520,118
Jordan 1 Mid Light Smoke Grey Anthracite,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/47257 ,55000,1183
Adidas Superstar Core Black White,Adidas,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/26344 ,25000,236
(GS) Jordan 1 Low Stealth and White,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/66277 ,11000,48
Nike Dunk Low SE Sail Dark Marina Blue,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/75835 ,9143,112
Nike x Tom Sachs General Purpose Shoe Light Cream,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/65219 ,14000,436
(W) Jordan 1 Retro High OG Atmosphere,Jordan,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/46938 ,21000,775
