Name,Brand,Colors,Link,wish,review
Autry Medalist Low Leather Sneakers White,Autry,"[(218, 214, 194, 92)]",https://kream.co.kr/products/48207 ,7479,192
Nike Air Force 1 '07 LV8 Athletic Club Black Dark Sulfur,Nike,"[(36, 35, 36, 46), (185, 184, 188, 39), (187, 136, 45, 9)]",https://kream.co.kr/products/49016 ,41000,519
Nike x Peaceminusone Kwondo1 White,Nike,"[(175, 175, 175, 68), (230, 230, 230, 16)]",https://kream.co.kr/products/45030 ,33000,2658
Nike Dunk Low Retro Gym Red,Nike,"[(117, 18, 29, 50), (192, 188, 193, 41)]",https://kream.co.kr/products/71893 ,16000,193
Nike x Supreme Air Force 1 Low Black,Nike,"[(31, 32, 33, 95)]",https://kream.co.kr/products/23626 ,22000,631
New Balance 990v3 Made in USA Sea Salt,New Balance,"[(205, 200, 192, 79)]",https://kream.co.kr/products/62676 ,2730,48
Salomon XT-6 ADV White,Salomon,"[(236, 235, 231, 93)]",https://kream.co.kr/products/25672 ,8520,118
Jordan 1 Mid Light Smoke Grey Anthracite,Jordan,"[(179, 180, 184, 63), (43, 45, 47, 12), (222, 222, 223, 11)]",https://kream.co.kr/products/47257 ,55000,1183
Adidas Superstar Core Black White,Adidas,"[(35, 35, 35, 83), (221, 219, 214, 14)]",https://kream.co.kr/products/26344 ,25000,236
(GS) Jordan 1 Low Stealth and White,Jordan,"[(196, 193, 182, 43), (108, 108, 113, 31), (147, 148, 154, 10), (226, 226, 228, 8)]",https://kream.co.kr/products/66277 ,11000,48
Nike Dunk Low SE Sail Dark Marina Blue,Nike,"[(205, 202, 192, 65), (237, 235, 229, 11)]",https://kream.co.kr/products/75835 ,9143,112
Nike x Tom Sachs General Purpose Shoe Light Cream,Nike,"[(200, 200, 201, 60), (101, 69, 48, 35)]",https://kream.co.kr/products/65219 ,14000,436
(W) Jordan 1 Retro High OG Atmosphere,Jordan,"[(175, 162, 164, 49), (39, 41, 51, 29), (231, 223, 223, 8)]",https://kream.co.kr/products/46938 ,21000,775
Adidas Puppylette Core Black,Adidas,"[(44, 43, 45, 86), (189, 186, 185, 10)]",https://kream.co.kr/products/80617 ,4685,28
Jordan 1 Retro High OG Bleached Coral,Jordan,"[(174, 172, 174, 55), (33, 33, 34, 32)]",https://kream.co.kr/products/60302 ,34000,944
(W) Nike Zoom Vomero 5 Oatmeal,Nike,"[(172, 162, 132, 60), (226, 221, 203, 15), (54, 44, 33, 9)]",https://kream.co.kr/products/81176 ,2281,72
Maison Mihara Yasuhiro Hank OG Sole Canvas Low-top Sneakers Black,Mihara Yasuhiro,"[(230, 234, 235, 49), (25, 26, 28, 45)]",https://kream.co.kr/products/25729 ,2329,53
